name,label,type,reason
米芾,1,人,1051–1107，宋四家之一，與蘇軾同列且實際交遊，蘇軾曾評其書法。蘇軾卒(1101)時米芾在世。
蔡襄,1,人,1012–1067，宋四家之一，蘇軾早年即知其書名。
曾鞏,1,人,1019–1083，唐宋八大家，與蘇軾同代並同出歐陽脩門下。
王安石,1,人,1021–1086，變法領袖，蘇軾政敵兼晚年和解之友。
司馬光,1,人,1019–1086，舊黨領袖、《資治通鑑》作者，蘇軾同代。
歐陽脩,1,人,1007–1072，蘇軾座師與提攜者。
蘇轍,1,人,1039–1112，蘇軾之弟，終生相伴。
蘇洵,1,人,1009–1066，蘇軾之父。
黃庭堅,1,人,1045–1105，蘇門四學士之首，蘇軾卒時仍在世。
秦觀,1,人,1049–1100，蘇門四學士，卒於蘇軾前一年，蘇軾深知並痛悼。
晁補之,1,人,1053–1110，蘇門四學士之一。
張耒,1,人,1054–1114，蘇門四學士之一。
沈括,1,人,1031–1095，《夢溪筆談》作者，與蘇軾同代且有交集。
程顥,1,人,1032–1085，理學家『二程』之兄，蘇軾同代。
程頤,1,人,1033–1107，理學家『二程』之弟，與蘇軾於朝中有洛蜀黨爭，蘇軾深知其人。
周敦頤,1,人,1017–1073，理學開山、〈愛蓮說〉作者，蘇軾同代前輩。
張載,1,人,1020–1077，『橫渠四句』理學家，蘇軾同代。
宋徽宗,1,人,"1082–1135，蘇軾卒(1101)時已即位(1100登基),蘇軾晚年遇赦即徽宗朝,知其為帝。"
宋哲宗,1,人,1077–1100，蘇軾屢遭貶謫的在位皇帝。
宋神宗,1,人,1048–1085，熙寧變法時的皇帝。
佛印了元,1,人,1032–1098，與蘇軾交遊的禪僧，卒於蘇軾前。
陳師道,1,人,"1053–1101，蘇門文人,與秦觀齊名,卒於蘇軾同年。"
李公麟,1,人,"1049–1106，北宋畫家,與蘇軾、黃庭堅交遊。"
王詵,1,人,"約1048–1104，駙馬、畫家,蘇軾好友,西園雅集主人。"
文同,1,人,"1018–1079，畫竹名家,蘇軾表兄,『胸有成竹』典出於他。"
王鞏,1,人,"約1048–1117,蘇軾好友,烏台詩案受牽連被貶嶺南。"
劉摯,1,人,"1030–1098，舊黨宰相,蘇軾同朝。"
呂大防,1,人,"1027–1097，元祐宰相,蘇軾同朝。"
章惇,1,人,"1035–1105，新黨宰相,主導貶謫蘇軾至嶺南海南。"
曾布,1,人,"1036–1107，新黨人物,曾鞏之弟。"
范純仁,1,人,"1027–1101，范仲淹之子,蘇軾同朝,卒於蘇軾同年。"
蘇邁,1,人,"1059–？,蘇軾長子,隨侍左右。"
朝雲（王朝雲）,1,人,"1062–1096,蘇軾侍妾,隨他貶惠州,卒於惠州。"
孟元老（少年期）,1,人,"約1090s生,《東京夢華錄》作者,蘇軾晚年其尚年幼。註:其書成於南宋追憶北宋。"
烏台詩案,1,事,"1079年,蘇軾因詩文下獄,親歷。"
熙寧變法,1,事,"1069年起王安石推行新法,蘇軾親歷反對。"
元祐更化,1,事,"1085–1093,舊黨執政廢新法,蘇軾受召還朝。"
元豐改制,1,事,"1080–1082神宗官制改革,蘇軾同代。"
洛蜀黨爭,1,事,"元祐年間程頤(洛)與蘇軾(蜀)派系之爭,蘇軾為當事人。"
蘇軾貶黃州,1,事,"1080年,蘇軾因烏台詩案被貶黃州,親歷。"
蘇軾貶惠州,1,事,"1094年,蘇軾再貶惠州,親歷。"
蘇軾貶儋州,1,事,"1097年,蘇軾貶海南儋州,親歷。"
築蘇堤,1,事,"1090年蘇軾任杭州疏濬西湖築堤,親為。"
澶淵之盟,1,事,"1005年宋遼盟約,蘇軾出生前不久,為其熟知的本朝大事。"
陳橋兵變,1,事,"960年趙匡胤建宋,本朝開國史,蘇軾必知。"
慶曆新政,1,事,"1043–1045范仲淹改革,蘇軾出生後不久之本朝史,熟知。"
西夏建國,1,事,"1038年李元昊稱帝,蘇軾出生次年,終身為宋之邊患,熟知。"
嘉祐二年進士,1,事,"1057年蘇軾中進士,親歷。"
王安石罷相,1,事,"1076年,蘇軾同代政事。"
司馬光盡廢新法,1,事,"1086年,蘇軾返朝親歷。"
蘇軾任翰林學士,1,事,"1086年,蘇軾親歷。"
元祐黨人初起,1,事,"蘇軾晚年新舊黨爭,身為當事人,1101前已親歷其端。"
赤壁之戰（典故）,1,事,"208年三國史事,蘇軾〈赤壁懷古〉所詠,熟知。"
安史之亂（典故）,1,事,"755–763唐代史,蘇軾熟知的前代史。"
玄武門之變（典故）,1,事,"626年唐初史事,蘇軾熟知。"
黃巾之亂（典故）,1,事,"184年東漢末,蘇軾熟知的史事。"
商鞅變法（典故）,1,事,"戰國史,蘇軾論政常引,熟知。"
范仲淹守邊,1,事,"1040年代范仲淹禦西夏,蘇軾少年時本朝事,熟知。"
歐陽脩主盟文壇,1,事,"蘇軾親歷,並受其提攜。"
宋夏戰爭,1,事,"蘇軾一生持續的宋夏邊事,親歷。"
宋遼關係（歲幣）,1,事,"蘇軾時代持續的宋遼外交,熟知。"
永樂城之戰,1,事,"1082年宋夏戰役宋大敗,蘇軾同代軍事大事。"
司馬光修資治通鑑,1,事,"1084成書,蘇軾同代學術大事,熟知。"
沈括著夢溪筆談,1,事,"約1088成書,蘇軾同代,沈括與其相識。"
西園雅集,1,事,"傳為1080s蘇軾、黃庭堅、米芾等文人聚會,蘇軾為核心。"
蘇軾應制科,1,事,"1061年蘇軾中制科,親歷。"
還朝與再貶循環,1,事,"蘇軾晚年數度起復又貶,親歷。"
活字印刷,1,物,"畢昇約1041–1048發明,蘇軾同代技術。"
交子（紙幣）,1,物,"北宋四川已行交子,蘇軾時代已存在的貨幣形式。"
夢溪筆談,1,物,"沈括約1088著,蘇軾同代書,內容含當代科技。"
資治通鑑,1,物,"司馬光1084成書,蘇軾同代史書。"
茶（點茶法）,1,物,"宋代盛行點茶鬥茶,蘇軾嗜茶並有茶詩。"
端硯,1,物,"唐宋名硯,蘇軾為書家必知並愛用。"
澄心堂紙,1,物,"南唐至宋名紙,宋代文人珍視,蘇軾知之。"
汝窯,1,物,"北宋名窯(徽宗朝鼎盛),蘇軾晚年同代之物。"
古琴,1,物,"宋代文人雅器,蘇軾通音律。"
羅盤（堪輿用磁針）,1,物,"北宋已用磁針,沈括筆談有載,蘇軾同代。"
火藥（軍用）,1,物,"北宋《武經總要》1044載火藥配方,蘇軾同代。"
水運儀象台（蘇頌）,1,物,"蘇頌1092造於汴京,蘇軾同代天文儀器。"
荔枝,1,物,"蘇軾貶惠州所食,『日啖荔枝三百顆』。"
黃州豬肉（東坡肉雛形）,1,物,"蘇軾〈豬肉頌〉論黃州燉豬肉之法,親為。"
宣紙,1,物,"宋代書畫用紙,蘇軾常用。"
湖筆/宣筆,1,物,"宋代名筆,蘇軾書寫工具。"
徽墨,1,物,"宋代名墨(李廷珪墨等),蘇軾書家必知。"
論語,1,物,"儒家經典,蘇軾自幼研讀。"
詩經,1,物,"先秦經典,蘇軾熟讀。"
楚辭,1,物,"屈原作品集,蘇軾熟讀並擬作。"
文選（昭明文選）,1,物,"南朝選集,宋代士人必讀,蘇軾熟知。"
說文解字,1,物,"東漢字書,蘇軾為文人知之。"
唐詩（李杜白集）,1,物,"唐人詩集,蘇軾遍讀並推崇。"
陶淵明集,1,物,"東晉詩集,蘇軾極愛並遍和。"
圍棋,1,物,"古已有之的棋戲,蘇軾通曉。"
古文運動文章（韓柳）,1,物,"韓愈柳宗元古文,蘇軾承其緒。"
茶磨/茶碾,1,物,"宋代點茶器具,蘇軾日用。"
硯滴/筆洗,1,物,"宋代文房用具,蘇軾日用。"
龍井茶區（宋代茶）,1,物,"宋代杭州已產茶,蘇軾任杭州時知之。"
竹（墨竹畫題材）,1,物,"文同蘇軾畫墨竹,蘇軾日常題材。"
羅漢/佛像（禪寺）,1,物,"宋代佛寺造像,蘇軾遊寺常見並知之。"
黃河,1,物,"中國母親河,蘇軾時代核心地理(視為地理實體之物)。"
長江,1,物,蘇軾遊赤壁貶謫屢經之大江。
岳飛,0,人,"1103生,蘇軾卒(1101)後二年才出生,絕不可能知道。極近邊界。"
辛棄疾,0,人,"1140生,南宋詞人,晚於蘇軾。"
朱熹,0,人,"1130生,理學集大成者,蘇軾卒後出生。其《四書集注》更在身後。"
陸游,0,人,"1125生,南宋詩人,蘇軾卒後出生。"
李清照,0,人,"1084生,蘇軾卒時約17歲,但代表作全在南渡(1129+)後,因元祐黨案1103才離京,成就在蘇軾身後。"
秦檜,0,人,"1090生,蘇軾卒時約11歲尚未顯,其權相生涯全在南宋,蘇軾不可能知。"
宋高宗（趙構）,0,人,"1107生,南宋開國皇帝,蘇軾卒後出生。"
宗澤,0,人,"1060生,雖與蘇軾同代,但其抗金事功全在1126後(蘇軾歿後),作為『抗金名將』蘇軾無從知。邊界:人在但成名在後。"
李綱,0,人,"1083生,南宋初抗金宰相,蘇軾卒時尚幼,事功在身後。"
韓世忠,0,人,"1090生,南宋中興名將,蘇軾卒時年幼,事功全在南宋。"
完顏阿骨打,0,人,"1068生,金太祖,但建金(1115)、滅遼伐宋全在蘇軾歿後,作為金朝開國者蘇軾不知。"
完顏宗弼（兀朮）,0,人,"?–1148,金將,南侵在蘇軾歿後。"
楊萬里,0,人,"1127生,南宋詩人。"
范成大,0,人,"1126生,南宋詩人。"
朱淑真,0,人,"約1135生,南宋女詞人。"
岳雲,0,人,"1119生,岳飛之子。"
文天祥,0,人,"1236生,南宋末忠臣,遠晚於蘇軾。"
成吉思汗,0,人,"1162生,蒙古領袖,晚蘇軾甚遠。"
馬可波羅,0,人,"1254生,威尼斯旅行家。"
朱元璋,0,人,"1328生,明太祖。"
牛頓,0,人,"1643生,英國科學家。"
愛因斯坦,0,人,"1879生,物理學家。"
莎士比亞,0,人,"1564生,英國劇作家。"
哥倫布,0,人,"1451生,航海家,蘇軾不知美洲。"
二程門人楊時（成就期）,0,人,"1053生雖同代,但『程門立雪』與其傳播理學的主要影響在南宋初,作為道南學派宗師蘇軾無從預知。邊界。"
胡安國,0,人,"1074生,雖同代,但其《春秋傳》與理學地位確立於南宋,蘇軾不知其學術成就。邊界。"
高宗朝宰相趙鼎,0,人,"1085生,南宋宰相,蘇軾卒時年幼。"
金兀朮對手劉錡,0,人,"1098生,南宋名將,蘇軾卒時嬰幼,事功全在南宋。極近邊界。"
陳與義,0,人,"1090生,南宋詩人,蘇軾卒時年幼,成就在南渡後。"
尤袤,0,人,"1127生,南宋詩人。"
乾隆皇帝,0,人,"1711生,清帝。"
孫中山,0,人,1866生。
達文西,0,人,"1452生,文藝復興。"
靖康之變,0,事,"1127年金滅北宋擄徽欽二帝,蘇軾歿後26年,絕不知。北宋亡國本身他未見。"
宋室南渡,0,事,"1127年高宗南遷,蘇軾歿後。"
紹興和議,0,事,"1141年宋金和議,蘇軾歿後。"
岳飛北伐,0,事,"1140年,蘇軾歿後。"
莫須有冤獄,0,事,"1142年岳飛被害,蘇軾歿後。"
金滅遼,0,事,"1125年,蘇軾歿後。"
金朝建立,0,事,"1115年完顏阿骨打建金,蘇軾歿後14年。"
方臘起義,0,事,"1120–1121,蘇軾歿後。"
宋江起義,0,事,"約1119–1121,蘇軾歿後。"
花石綱,0,事,"1105年起徽宗朝大興花石綱,蘇軾歿後。極近邊界(歿後4年)。"
元祐黨籍碑,0,事,"1102–1104年蔡京立碑,蘇軾名列其上,但立碑在其歿後,他未見此碑。極近邊界。"
崇寧禁元祐學術,0,事,"1102年起,蘇軾歿後次年,他未及見此禁。極近邊界。"
蒙古滅金,0,事,"1234年,遠晚於蘇軾。"
崖山海戰,0,事,"1279年南宋亡,遠晚於蘇軾。"
蒙古西征,0,事,"13世紀,晚於蘇軾。"
鴉片戰爭,0,事,1840年。
辛亥革命,0,事,1911年。
第二次世界大戰,0,事,20世紀。
哥倫布發現新大陸,0,事,1492年。
文藝復興,0,事,14–16世紀歐洲。
鄭和下西洋,0,事,"1405年起,明代。"
王安石配享孔廟,0,事,"1104年徽宗朝,蘇軾歿後。"
徽宗創畫院（宣和畫院鼎盛）,0,事,"宣和年間(1119–1125)鼎盛,蘇軾歿後。邊界:畫院早有但鼎盛在後。"
交子改稱錢引,0,事,"1105年改制,蘇軾歿後。極近邊界。"
方田均稅法重行,0,事,"徽宗朝政事,蘇軾歿後。"
童貫掌兵,0,事,"徽宗朝(1100s後),蘇軾歿後童貫才得勢。"
蔡京為相,0,事,"1102年蔡京始拜相,蘇軾歿後次年。極近邊界。"
聯金滅遼（海上之盟）,0,事,"1120年宋金盟約,蘇軾歿後。"
南宋臨安定都,0,事,"1138年,蘇軾歿後。"
朱熹講學白鹿洞,0,事,"1180年代,蘇軾歿後。"
明朝建立,0,事,1368年。
清朝入關,0,事,1644年。
蘇軾追贈太師諡文忠,0,事,"南宋孝宗朝(1170年代)追贈,蘇軾歿後數十年,他本人未及見此身後哀榮。極近邊界(與其本人直接相關卻發生在身後)。"
宣和畫譜,0,物,"1120年成書,徽宗朝,蘇軾歿後。極近邊界。"
宣和書譜,0,物,"約1120年成書,蘇軾歿後。"
營造法式,0,物,"李誡1100成書、1103頒行,頒行在蘇軾歿後。極近邊界(成書勉強同年,頒行在後)。"
東京夢華錄,0,物,"1147年孟元老成書,追憶北宋,成書在蘇軾歿後。"
四書章句集注,0,物,"朱熹1190年代成書,蘇軾歿後。"
資治通鑑綱目,0,物,"朱熹著,南宋,蘇軾歿後。"
稼軒詞,0,物,"辛棄疾詞集,南宋。"
漱玉詞,0,物,"李清照詞集,主要成於南渡後。"
放翁詩集（劍南詩稿）,0,物,"陸游詩集,南宋。"
清明上河圖,0,物,"張擇端約1120s作,徽宗朝,蘇軾歿後。極近邊界。"
千里江山圖,0,物,"王希孟1113年作,蘇軾歿後12年。極近邊界。"
交子鋪戶官營後的會子,0,物,"會子為南宋紙幣,蘇軾歿後。"
火槍（突火槍）,0,物,"南宋1132後出現的管形火器,蘇軾歿後。"
火銃,0,物,"元代金屬管火器,遠晚於蘇軾。"
羅盤航海用（指南針定向航海）,0,物,"宋代後期至南宋始普及於遠洋航海,蘇軾時主要堪輿用。邊界:磁針知,航海用未必。"
辣椒,0,物,"原產美洲,明代後傳入,蘇軾不識。"
番茄,0,物,"原產美洲,明代後傳入。"
馬鈴薯,0,物,"原產美洲,明代後傳入。"
玉米,0,物,"原產美洲,明代後傳入。"
菸草,0,物,"原產美洲,明代後傳入。"
咖啡,0,物,"近代才傳入東亞,蘇軾飲茶不識咖啡。"
巧克力,0,物,"源自美洲可可,大航海後傳開。"
青花瓷（成熟）,0,物,"元代景德鎮成熟,蘇軾時尚未有成熟青花。"
鈞窯（鼎盛）,0,物,"北宋末徽宗朝至金代鼎盛,蘇軾晚年勉強同代但鼎盛在後。邊界。"
活字（木/金屬活字普及）,0,物,"畢昇泥活字蘇軾知,但木活字、金屬活字普及在元明,蘇軾不知。"
眼鏡,0,物,"約13世紀後傳入,蘇軾不知。"
自鳴鐘,0,物,"明代利瑪竇後傳入,蘇軾不知。"
火藥武器（重型火炮）,0,物,"元明後發展,蘇軾不知。"
蒸汽機,0,物,18世紀。
電,0,物,18–19世紀後應用。
智慧型手機,0,物,21世紀。
印刷術（金屬活字朝鮮本）,0,物,"13世紀高麗金屬活字,晚於蘇軾。"
紙幣『關子』,0,物,"南宋紙幣,蘇軾歿後。"
